==== 赛博与废土 ====
42. 《权游之三叉戟河之王》 - https://www.qidian.com/book/1044652613/
43. 《诡秘：银之钥》 - https://www.qidian.com/book/1044650312/
44. 《诡秘：先天命运圣体》 - https://www.qidian.com/book/1044062338/
45. 《40k：午夜之刃》 - https://www.qidian.com/book/1037187334/
46. 《诡秘：第四纪元的时空穿越者》 - https://www.qidian.com/book/1044230781/
47. 《诡秘：开局假扮纯白天使》 - https://www.qidian.com/book/1044744052/
48. 《主人说抽到的词条不能浪费》 - https://www.qidian.com/book/1046069473/
49. 《战锤：向虚空领主致敬！》 - https://www.qidian.com/book/1039964904/
50. 《枪决通知》 - https://www.qidian.com/book/1045952143/
51. 《王国血脉》 - https://www.qidian.com/book/1003586227/
52. 《魔兽艾泽拉斯，从挖黑龙墙角开始》 - https://www.qidian.com/book/1044848271/
53. 《中土冒险日志》 - https://www.qidian.com/book/1045709623/
54. 《骑士领主：从每日情报开始》 - https://www.qidian.com/book/1041712374/
55. 《克系腐溃邪神，从密大教授开始》 - https://www.qidian.com/book/1044777248/
56. 《杀穿地下城的哥布林杀手》 - https://www.qidian.com/book/1045939688/
57. 《龙神：我在艾泽拉斯传火七千年》 - https://www.qidian.com/book/1045044075/
58. 《帝国血脉》 - https://www.qidian.com/book/1042412214/
59. 《灰沼领主，从生物改造开始》 - https://www.qidian.com/book/1045096834/
60. 《骑砍乱入十字军之王》 - https://www.qidian.com/book/1045420990/
61. 《巫师血脉》 - https://www.qidian.com/book/1040945880/
62. 《奇诡航海：召唤第四天灾》 - https://www.qidian.com/book/1040084813/
63. 《旧日音乐家》 - https://www.qidian.com/book/1033804669/
64. 《我不是领主》 - https://www.qidian.com/book/1043028890/
65. 《猎魔人：基里曼大师野心勃勃》 - https://www.qidian.com/book/1043796049/
66. 《法师故事：假龙永生》 - https://www.qidian.com/book/1042032271/
67. 《战锤40k：锻钢兄弟》 - https://www.qidian.com/book/1042578043/
68. 《希腊神话：洞穴之神》 - https://www.qidian.com/book/1043621086/
69. 《圣堂教会从赐福开始》 - https://www.qidian.com/book/1044518172/
70. 《红龙之下》 - https://www.qidian.com/book/1039753240/
71. 《种出个帝国神话》 - https://www.qidian.com/book/1042184423/
72. 《巫妖的现代化农场》 - https://www.qidian.com/book/1044578872/
73. 《狼人狩猎法则》 - https://www.qidian.com/book/1035053977/
74. 《佣兵战纪》 - https://www.qidian.com/book/1043309729/
75. 《别逼我抽出昆特牌》 - https://www.qidian.com/book/1043630723/
76. 《暮年骑士，从抚养血族徒弟开始》 - https://www.qidian.com/book/1045136683/
77. 《多周目的底边冒险者》 - https://www.qidian.com/book/1045828806/
78. 《在魔法世界搞工业》 - https://www.qidian.com/book/1045025822/
79. 《空想具现的大贵族》 - https://www.qidian.com/book/1035510486/
80. 《地下城女王：开局送哥布林进厂！》 - https://www.qidian.com/book/1044671273/
81. 《骑砍系统：从开拓领主开始》 - https://www.qidian.com/book/1038801618/
82. 《冰与火：牧龙者》 - https://www.qidian.com/book/1044702392/
83. 《森林不养闲哥布林》 - https://www.qidian.com/book/1045593609/
84. 《冒险者？错！是金币收藏家》 - https://www.qidian.com/book/1044281259/
85. 《中古战锤：英雄无敌》 - https://www.qidian.com/book/1045373609/
86. 《徒弟，不要丢下为师去当勇者啊！》 - https://www.qidian.com/book/1045192448/
87. 《帝国王权》 - https://www.qidian.com/book/1039978139/
88. 《1881：西部猎魔手记》 - https://www.qidian.com/book/1045647453/
89. 《重生白龙，实在太弱的我只能自律》 - https://www.qidian.com/book/1043842153/
90. 《占星家忽悠着你》 - https://www.qidian.com/book/1045421153/
91. 《重生北美：传奇从美式居合开始》 - https://www.qidian.com/book/1045278068/
92. 《高天之上》 - https://www.qidian.com/book/1032977639/
93. 《巫师：从不义超人至太阳神》 - https://www.qidian.com/book/1046058382/
94. 《权游：烈日行者》 - https://www.qidian.com/book/1041354374/
95. 《诡秘地海》 - https://www.qidian.com/book/1020600643/
96. 《炼金术师保命之法》 - https://www.qidian.com/book/1042131809/
97. 《1888：未确认生物猎杀手记》 - https://www.qidian.com/book/1045492480/
98. 《我在异界种田封神》 - https://www.qidian.com/book/1035966710/
99. 《让你开拓，你开拓出了一个帝国？》 - https://www.qidian.com/book/1045903136/
100. 《权游：开局带疯王杀出暮谷镇！》 - https://www.qidian.com/book/1044813430/
101. 《虫群公主养成日记》 - https://www.qidian.com/book/1045063107/
102. 《天国拯救：梦境传承》 - https://www.qidian.com/book/1043754397/
103. 《猩红之刃：漂泊之旅》 - https://www.qidian.com/book/1042300920/
